Manufacturer,Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,PSIA,Audio In,Audio Out,PoE,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,AUDIO URL,User Manual,Data sheet,Page Reference,Default Username,Default Password,Discontinued
IQinVision,,Default,,,,,,,,,,,,,,,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,,,,root,system,
IQinVision,Dome,IQM30NE-B5,720x480,0.3,60FPS,,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-mx.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQM31NE-B5,1280x720,1,30FPS,,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-mx.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQM32NE-B5,1920x1080,2,30FPS,,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-mx.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQA32NI-B5,1920x1080,2,30FPS,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-pro_datasheet.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQA33NI-B5,2560x1440,3.6,16FPS,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-pro_datasheet.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQA35NI-B6,2560x1920,5,10FPS,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-pro_datasheet.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQD30SV-F1,720x480,0.3,60FPS,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-mini.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQD31SV-F1,1280x720,1,30FPS,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-mini.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQD32SV-F1,1920x1080,2,30FPS,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-mini.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQA31NE-B5,1280x720,1,60FPS,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-pro_datasheet.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQA31NI-B5,1280x720,1,60FPS,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-pro_datasheet.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQA32NE-B5,1920x1080,2,30FPS,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-pro_datasheet.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQA32NX-B5,1920x1080,2,30FPS,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-pro_datasheet.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQA33NE-B5,2560x1440,3.6,16FPS,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-pro_datasheet.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQA35NE-B6,2560x1920,5,10FPS,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-pro_datasheet.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Dome,IQA35NX-B6,2560x1920,5,10FPS,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Alliance-pro_datasheet.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Bullet,IQ861NE-V6,1280x720,1,60FPS,,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Sentinel_datasheet.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Bullet,IQ863NE-V6,2560x1440,3.6,16FPS,,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Sentinel_datasheet.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Bullet,IQ865NE-V6,2560x1920,5,10FPS,,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/Sentinel_datasheet.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
IQinVision,Bullet,IQ761NI-V6,1280x720,1,60FPS,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,now.jpg,None,now.mp4,now.jpg?snap=spush,Unknown,n/a,http://www.iqeye.com/sites/default/files/7-series_datasheet.pdf,http://www.iqeye.com/products/product-selector-tool#,root,system,No
